repcod,nombre,edad,ofinum,puesto,fcontrato,jefe,cuota,ventas
105,Bill Adams,37,13,Representante Ventas,1988-02-12,104,350000.00,367911.00
109,Mary Jones,31,11,Representante Ventas,1989-10-12,106,300000.00,392725.00
102,Sue Smith,48,21,Representante Ventas,1986-12-10,108,350000.00,474050.00
106,Sam Clark,52,11,VP Ventas,1988-06-14,,275000.00,299912.00
104,Bob Smith,33,12,Dir Ventas,1987-05-19,106,200000.00,142594.00
101,Dan Roberts,45,12,Representante Ventas,1986-10-20,104,300000.00,305673.00
110,Tom Snyder,41,,Representante Ventas,1990-01-13,101,,75985.00
108,Larry Fitch,62,21,Dir Ventas,1989-10-12,106,350000.00,361865.00
103,Paul Cruz,29,12,Representante Ventas,1987-03-01,104,275000.00,286775.00
107,Nancy Angelli,49,22,Representante Ventas,1988-11-14,108,300000.00,186042.00
